SampleID;Line;Spot;SpotID;Ce/Ce*;Ce/Ce**;La/La*;Pr/Pr*;Eu/Eu*;LaN/SmN;LaN/NdN;LaN/DyN;LaN/YbN;NdN/DyN;NdN/YbN;GdN/DyN;GdN/YbN;DyN/SmN;DyN/YbN;Sr/Ba;Mn/U;Y/Ho;U/Th
PR006;L1;8;D-II_408_Ap8;0.006834951384574598;0.009416638298488166;1.8337557284995385;1.8273567669475568;1.0936917659539285;1.4634691089717407;1.3987232926608983;0.7217766705449385;2.565067305857698;0.5160253456363392;1.8338632947035394;0.8986022612290543;3.19347434644597;2.027592701031508;3.553824071261658;11.307447530217713;0.023659412949372616;43.461436820553274;4444.512268762174
PR006;L1;9;D-II_408_Ap9;0.00651467453954153;0.009133967494853977;1.8855429733243687;1.830548673094372;1.1095988541213508;1.4867150299306962;1.4462257805748508;0.7064422529100975;2.5793571657127226;0.48847300497526625;1.7835093250014329;0.8745100977506537;3.1930053416671007;2.104510345759141;3.6511932222165284;11.326254047683916;0.024203121042051245;42.79757035050241;5187.4262586329205
PR006;L1;10;D-II_408_Ap10;0.00659067991015632;0.009666130070506346;2.0731744935443444;1.7795500420063206;1.1180021757498815;1.5107633470016415;1.4300572946299484;0.7102984629500887;2.542247927062992;0.4966923112922482;1.777724526569295;0.8723049920815265;3.1220897602333513;2.1269415968140706;3.5791263245935405;11.424434312636226;0.02388588051821039;42.38022963111462;4806.06927728395
SF001;L1;1;S-1F_Ap1;0.6383349272694322;0.9416956180447429;2.128149929032094;1.0258363505795243;0.9823582390419834;1.330248810604108;1.3635008627251777;0.84823079130332;1.5606175614114965;0.622097729815875;1.144566610902137;1.0142632237094344;1.8660923595837229;1.56826281743458;1.8398501650872436;23.108407589471394;1.5588931437325837;42.96708203064021;3181.8449422072918
SF001;L1;2;S-1F_Ap2;0.6310257126981199;0.9960928409028738;2.363006534907506;1.001700030120653;0.9529189963566764;1.4884829449594987;1.540446160318248;0.8491949051058221;1.4170936287637195;0.5512655534357546;0.9199241526694808;0.9941606593961456;1.6590051682213718;1.7528166219673822;1.6687495653157844;21.740361736705147;1.7098298252509763;44.006101868976856;5928.322848175481
SF001;L1;3;S-1F_Ap3;0.6641959512856824;1.0347467363541378;2.22831767781817;0.9843340141091506;0.9750296648021952;1.606541312637506;1.7107244021155972;0.7852053191777931;1.2242587447946678;0.4589899566562301;0.7156376230330652;0.8853240263517643;1.3803595757258922;2.046014301482004;1.5591574775329053;22.246941718686216;1.6443604869198518;46.77739243728783;7861.267504867365
SF001;L1;4;S-1F_Ap4;0.6835970739250508;1.2172156789488187;2.8172523235767337;0.9130792560201834;0.9854091174304997;1.7194338002683944;1.888223673211352;0.7549607721256503;1.0573821914347192;0.39982592255167976;0.5599877845172873;0.8545409470921822;1.19685209174901;2.2775140957684408;1.400578984332627;23.469334097352125;1.121591238873979;48.28108641777623;9410.184659167486
SF001;L1;5;S-1F_Ap5;0.6508822943168551;1.2967460732909817;3.4264350756450463;0.888481055140705;0.967701692304522;1.9074822491558683;2.054299472672811;0.736215185743782;0.9452962406172337;0.35837773194085776;0.4601550325023091;0.8015166340120963;1.0291429402646128;2.5909303232162766;1.2839944881905985;22.400874956911007;1.146889898993959;49.13852517526586;14331.80167418335
SF001;L1;6;S-1F_Ap6;0.63097907450913;1.410180945798173;3.993172152291434;0.8513772172407483;0.9614288579736404;2.249533937142672;2.4412633779909445;0.7118678704328315;0.80230875953267;0.29159814416200697;0.32864490032736077;0.7350789695925327;0.8284687661121027;3.1600442028306532;1.1270472974778991;22.431084497891295;0.8140117455546109;51.12592420801903;17788.217839460518
SF001;L1;7;S-1F_Ap7;0.5855588793617684;1.445426216346596;4.421133618924027;0.8367507046319864;0.9800156107355446;2.7862409478360766;2.9580246163156256;0.679883752209427;0.6870643853360588;0.2298438452673385;0.23227135485837622;0.6507404251731548;0.6576132592990651;4.098113741917782;1.010561560124502;24.188877676257874;0.7128619805105201;53.195155531704444;19209.796836335885
SF001;L1;8;S-1F_Ap8;0.5280751146888559;1.5123676314387609;5.505603027200664;0.8207003683022543;0.9910349572199376;3.305636995967469;3.386190055118508;0.6503203100952668;0.5709794297494508;0.19205074124893065;0.16862001850320477;0.598348627661188;0.5253484366239511;5.083090508865115;0.8779972282671085;22.293904756997776;0.7020700589891935;55.70784412988866;13229.63003953889
SF001;L1;10;S-1F_Ap10;0.4285985006341942;1.7033960287819765;8.513603277235077;0.7745491971492792;0.9736939715578004;4.8000546303697815;4.758296499945989;0.6162759578622855;0.43420353398101813;0.1295160900270256;0.09125188688555805;0.4931830916272003;0.3474771951627347;7.788807220421234;0.7045602354619946;23.16938306759259;0.7021745996026696;58.31178450614449;28845.19528559328
SF001;L1;11;S-1F_Ap11;0.37632223438057844;1.6031665226047374;8.721930650139779;0.7930408543026675;1.0184231591203288;6.040466939304856;5.616407397398312;0.6019985483758888;0.37606009385861444;0.10718569821960432;0.06695741018231988;0.45107490332374434;0.28178019853841024;10.03402243344477;0.6246860476211679;23.8965218564832;0.5827782393214548;59.985206403482074;18746.3182131003
