SampleID;Line;Spot;SpotID;Genus;Locality;skeletPart;tissueType;mmThickness;thickClass;mmDist;maxDist;profilePerc
TF006;L2;7;TF6-L2-7;Tarbosaurus;Nemegt;metatarsal;Cortex;15.802393512063722;mid;1.356492358;15.2831402;8.87574372968194
TF006;L2;8;TF6-L2-8;Tarbosaurus;Nemegt;metatarsal;Cortex;15.802393512063722;mid;1.633316704;15.2831402;10.687049144520705
TF006;L2;9;TF6-L2-9;Tarbosaurus;Nemegt;metatarsal;Cortex;15.802393512063722;mid;1.911471662;15.2831402;12.507060963819464
TF006;L2;10;TF6-L2-10;Tarbosaurus;Nemegt;metatarsal;Cortex;15.802393512063722;mid;2.225337385;15.2831402;14.560733958326184
TF006;L2;12;TF6-L2-12;Tarbosaurus;Nemegt;metatarsal;Cortex;15.802393512063722;mid;2.774603429;15.2831402;18.15466842998666
TF029;L2;4;T-29F_Ap40;Tarbosaurus;Tsagan Khushuu;rib;Cortex;11.671306483557801;mid;2.750545124;14.75083482;18.646708186784508
TF029;L2;2;T-29F_Ap42;Tarbosaurus;Tsagan Khushuu;rib;Cortex;11.671306483557801;mid;1.251453874;14.75083482;8.483952869590876
TF029;L2;1;T-29F_Ap43;Tarbosaurus;Tsagan Khushuu;rib;Cortex;11.671306483557801;mid;0.502240171;14.75083482;3.4048254022818756
TS012;L1;1;T12_L1_n/crack-1;Tarbosaurus;Altan Uul;tibia;Cortex;20.267108957103297;mid;0.174867941;19.06872726;0.9170404433169286
TS012;L1;2;T12_L1_n/crack-2;Tarbosaurus;Altan Uul;tibia;Cortex;20.267108957103297;mid;0.844797176;19.06872726;4.430275626061894
TS012;L1;3;T12_L1_n/crack-3;Tarbosaurus;Altan Uul;tibia;Cortex;20.267108957103297;mid;1.353886308;19.06872726;7.100034992057462
TS012;L1;4;T12_L1_n/crack-4;Tarbosaurus;Altan Uul;tibia;Cortex;20.267108957103297;mid;1.84027457;19.06872726;9.650746716904903
TS012;L1;5;T12_L1_n/crack-5;Tarbosaurus;Altan Uul;tibia;Cortex;20.267108957103297;mid;2.319324859;19.06872726;12.162976728211907
TS012;L1;6;T12_L1_n/crack-6;Tarbosaurus;Altan Uul;tibia;Cortex;20.267108957103297;mid;2.843117989;19.06872726;14.909846631263843
TS013;L1;1;T13-N_Line_1-1;Tarbosaurus;Nemegt;tibia;Cortex;15.094894658177559;mid;0.0971371;15.09489501;0.6435096099419642
TS013;L1;2;T13-N_Line_1-2;Tarbosaurus;Nemegt;tibia;Cortex;15.094894658177559;mid;0.512004107;15.09489501;3.3919024058187204
TS013;L1;3;T13-N_Line_1-3;Tarbosaurus;Nemegt;tibia;Cortex;15.094894658177559;mid;1.009488646;15.09489501;6.687616212840424
TS013;L1;4;T13-N_Line_1-4;Tarbosaurus;Nemegt;tibia;Cortex;15.094894658177559;mid;1.541614669;15.09489501;10.21282140736135
TS013;L1;5;T13-N_Line_1-5;Tarbosaurus;Nemegt;tibia;Cortex;15.094894658177559;mid;2.010907;15.09489501;13.321768708346916
TS013;L1;6;T13-N_Line_1-6;Tarbosaurus;Nemegt;tibia;Cortex;15.094894658177559;mid;2.511701574;15.09489501;16.6394106904093
TS015;L1;1;T15-L1-1;Tarbosaurus;Altan Uul;rib;Cortex;10.797889722675759;mid;0.217878018;19.13102213;1.1388728554045113
TS015;L1;2;T15-L1-2;Tarbosaurus;Altan Uul;rib;Cortex;10.797889722675759;mid;0.573080893;19.13102213;2.9955581521247234
TS015;L1;3;T15-L1-3;Tarbosaurus;Altan Uul;rib;Cortex;10.797889722675759;mid;1.359148462;19.13102213;7.104421566000248
TS015;L1;4;T15-L1-4;Tarbosaurus;Altan Uul;rib;Cortex;10.797889722675759;mid;1.597612455;19.13102213;8.350899623364764
