SampleID;Line;Spot;SpotID;Ca;V;Mn;Fe;Cu;Zn;Ga;Rb;Sr;Y;Ba;La;Ce;Pr;Nd;Sm;Eu;Gd;Tb;Dy;Ho;Er;Tm;Yb;Lu;Hf;Th;U
SF002;L1;9;S-2F_Ap9;360000.00000000006;13.525103069987031;1131.7633152796027;387.47887403375495;1.2093380983201683;15.687925863056906;9.782612048994189;0.35236909789326043;2603.920643224741;1989.7966374338012;116.25584305489953;842.6935745439365;718.4746017130194;64.98083964695353;266.3281350292461;47.925927843463974;15.00000068052884;100.86265287321768;17.415980004582515;139.41783317254794;37.54299975404323;114.81003185422809;14.630449698452875;83.64026694608975;11.932395186794205;0.05252318855730474;0.0630786987180413;1231.8404278865362
SF002;L1;10;S-2F_Ap10;360000.0;15.303270592184496;1110.5126960675755;660.6015639834461;1.9819785609238945;16.83271507042861;6.704468918294778;0.2825347456284853;2709.05175105846;1772.7302338338159;115.79418591467419;657.6825925931266;484.29858188793906;41.75817963704313;172.96798225134418;30.761203921955712;10.34925653190755;73.2323491559165;13.195198457525345;112.70903399635444;31.772076579502155;101.54301447973094;13.060235789171939;78.1460945496703;11.41333520570481;0.05020541436999748;0.06034144214272594;1288.138029578484
SF002;L1;11;S-2F_Ap11;360000.0;14.22434636872037;955.4856779833667;491.1212568454979;1.8981189190500212;20.737908571565768;4.715421065128557;0.27904225402183297;2577.5082534502767;1671.6466985038248;109.87413405694885;542.9259849752705;353.04222699143634;28.59034868980657;116.72974754832161;21.102600494654748;7.3890685926502595;57.29606139823289;10.475265240445978;97.21552051246518;28.79914922105472;96.42601086863118;12.687467657315754;77.10981266424093;11.159595008817014;0.05031288122206028;0.04586620922177379;1200.5046587405761
SF002;L1;12;S-2F_Ap12;360000.0;14.886884439973496;1051.260122521961;680.3045893478311;2.890992207995204;17.984304248216343;2.821996390651167;0.22645374108714617;2339.8207820401417;1295.4340096288388;94.32530590997158;372.2203129885902;195.1346569751112;15.789794064534933;65.88186395716248;11.485970302362363;4.369048758484513;37.225073587271986;7.117431033780635;69.36408592402292;22.211156683801118;76.16716428671445;10.340929401169255;61.5692326309512;9.393852938566852;0.043602793402284984;0.0586842247601588;997.5968361658179
SF003;L4;11;S-3F_Ap67;360000.0;44.656486129721756;1166.3018744776625;13366.758760745077;9.096306544701621;41.89297462547174;14.767453018910919;0.7404048704163859;2909.0649957694186;3667.55597169903;100.88511179735576;1056.4998421026717;937.7225457551085;95.03245217962878;413.9003733323903;84.4321745499168;25.667853243799556;178.3916567642913;33.762637294208474;298.7185107301928;78.12031184267238;243.83868225714596;30.834940307433047;183.71308368634493;24.512120908256833;0.45532666030890645;0.16599135086782105;764.4367779357577
SF003;L4;10;S-3F_Ap68;360000.0;33.60851229999149;1003.3306613087161;11232.629784411687;9.219716816454467;54.26977532412332;23.524633415667683;0.8309738660250771;3182.7439680390407;4746.589207455639;109.60245208925919;1542.587423860008;1539.8955856575635;162.1516078202928;689.4878027575928;139.57580280402416;41.092468406153074;273.8034192717473;50.31949649988039;415.9973990544463;108.10965781890279;323.6091379142838;39.91051215425941;225.39015398724254;30.33927705890803;0.4096152212554884;0.11988985968543446;730.3102450877204
SF003;L4;6;S-3F_Ap72;360000.0;37.18299405557864;1076.5920449908215;2658.485489073183;6.4865100652855965;55.80688677398612;40.670479468512895;0.8523907568858918;3063.327307117838;4421.1697884615505;97.81202590618116;2016.5625112258563;2405.9971562579553;342.96135106520717;1460.3966804420018;273.5923175958747;67.01090791438965;398.8610988425829;65.35375816351865;479.05381618061205;110.37899794366011;307.518098913097;36.55579280239295;202.68747067006996;26.636065943112914;0.3492224003104677;0.41026449096539097;1020.4405629161206
SF003;L4;5;S-3F_Ap73;360000.0;21.102341327490446;962.1357022836563;718.3751101843626;2.690863188964004;30.6335390195895;47.50537892763027;0.8520182704856133;2927.885076065502;4955.234105042462;101.13663176844717;2306.130141378871;2868.108658380101;423.03249113498543;1787.8972281312845;341.33926277968794;84.19738543997904;491.9758120218845;77.99827959680815;590.040485571476;130.59167840430084;376.6182675563492;40.84330913261725;214.581308741184;27.735270915506728;0.20876927493336425;0.2850982707727702;866.9051962729834
SF003;L4;4;S-3F_Ap74;360000.0;16.75401776201856;1150.1869435210024;324.7931336143245;1.2643680000521804;21.141497785043278;56.73435152740127;1.1719424337643518;2894.466620102198;5492.294351411344;129.33162355900575;2629.3471619731495;3430.906440626931;505.70767334609275;2120.0616742368566;405.2866960166808;96.72957086316806;560.3244480257468;89.16661784693389;654.635174513707;149.15168654752281;407.33535824493885;43.634994876456915;232.5893783622693;30.56644080385296;0.18823546848700376;0.5719510641992397;846.4260028353604
SF003;L4;2;S-3F_Ap76;360000.0;20.296946661063817;1818.0374015397517;818.6537160326652;2.482843244296907;27.43792982735645;70.58415961484245;1.1423175310587506;2917.028617891869;5629.570605818057;181.7262460286163;2964.000693606775;4294.721810119046;628.4977059303973;2605.565012959263;513.1231361096038;116.67114305994288;651.7638126637722;99.65204983423901;719.2963517194605;155.8234276424882;421.98913907797595;45.810000957323936;242.27602074090876;30.614448338613077;0.21206392845512842;32.61007537197905;964.0547348874624
